Hours since 00:00 Jan 1,Hourly Data: Resource Beam normal irradiance (W/m2),Hourly Data: Field collector incidence angle modifier
0.5,0,0
1.5,0,0
2.5,0,0
3.5,0,0
4.5,0,0
5.5,0,0
6.5,0,0
7.5,0,0
8.5,87,0.96172
9.5,374,0.929875
10.5,516,0.890165
11.5,767,0.850959
12.5,976,0.836146
13.5,965,0.854433
14.5,576,0.893463
15.5,414,0.932951
16.5,31,0.96423
17.5,0,1
18.5,0,1
19.5,0,0
20.5,0,0
21.5,0,0
22.5,0,0
23.5,0,0
24.5,0,0
25.5,0,0
26.5,0,0
27.5,0,0
28.5,0,0
29.5,0,0
30.5,0,0
31.5,0,0
32.5,478,0.962163
33.5,765,0.930518
34.5,716,0.890639
35.5,826,0.853167
36.5,83,0.837029
37.5,430,0.854829
38.5,512,0.893684
39.5,808,0.933033
40.5,631,0.964244
41.5,0,1
42.5,0,1
43.5,0,1
44.5,0,0
45.5,0,0
46.5,0,0
47.5,0,0
48.5,0,0
49.5,0,0
50.5,0,0
51.5,0,0
52.5,0,0
53.5,0,0
54.5,0,0
55.5,0,0
56.5,629,0.962619
57.5,812,0.931213
58.5,402,0.892024
59.5,543,0.854269
60.5,921,0.837985
61.5,332,0.855529
62.5,391,0.893958
63.5,343,0.93315
64.5,47,0.964279
65.5,0,1
66.5,0,1
67.5,0,0
68.5,0,0
69.5,0,0
70.5,0,0
71.5,0,0
72.5,0,0
73.5,0,0
74.5,0,0
75.5,0,0
76.5,0,0
77.5,0,0
78.5,0,0
79.5,0,0
80.5,107,0.963088
81.5,485,0.931936
82.5,17,0.893009
83.5,374,0.855427
84.5,916,0.837589
85.5,904,0.856181
86.5,6,0.894285
87.5,769,0.933308
88.5,344,0.964336
89.5,0,1
90.5,0,1
91.5,0,1
92.5,0,0
93.5,0,0
94.5,0,0
95.5,0,0
96.5,0,0
97.5,0,0
98.5,0,0
99.5,0,0
100.5,0,0
101.5,0,0
102.5,0,0
103.5,0,0
104.5,182,0.96357
105.5,57,0.932669
106.5,451,0.894029
107.5,346,0.856638
108.5,318,0.839399
109.5,271,0.856901
110.5,269,0.894319
111.5,177,0.933492
112.5,329,0.964274
113.5,0,1
114.5,0,1
115.5,0,1
116.5,0,0
117.5,0,0
118.5,0,0
119.5,0,0
120.5,0,0
121.5,0,0
122.5,0,0
123.5,0,0
124.5,0,0
125.5,0,0
126.5,0,0
127.5,0,0
128.5,146,0.964064
129.5,97,0.933422
130.5,362,0.895082
131.5,8,0.857899
132.5,8,0.841267
133.5,442,0.857687
134.5,5,0.895097
135.5,173,0.933717
136.5,18,0.964515
137.5,0,0
138.5,0,0
139.5,0,0
140.5,0,0
141.5,0,0
142.5,0,0
143.5,0,0
